,PERIOD,PRIMARY_LABEL,VALUE_ETH
164,2021-05-14T00:00:00Z,3. Surplus,-0.009048942146515717
165,2021-05-15T00:00:00Z,3. Surplus,0.011114581456025053
166,2021-05-16T00:00:00Z,3. Surplus,0.0017581179916687064
167,2021-05-17T00:00:00Z,3. Surplus,0.009129946282028671
168,2021-05-18T00:00:00Z,3. Surplus,1.9962974114026952
169,2021-05-19T00:00:00Z,3. Surplus,10.03960548111028
170,2021-05-20T00:00:00Z,3. Surplus,-0.01503422676420844
171,2021-05-21T00:00:00Z,3. Surplus,20.02006560531783
172,2021-05-22T00:00:00Z,3. Surplus,0.006393555570208329
173,2021-05-23T00:00:00Z,3. Surplus,0.013982717516544594
174,2021-05-24T00:00:00Z,3. Surplus,-0.03405861929860737
175,2021-05-25T00:00:00Z,3. Surplus,-0.0027124467877998357
176,2021-05-26T00:00:00Z,3. Surplus,-0.008596971849615505
177,2021-05-27T00:00:00Z,3. Surplus,0.005602452036676759
178,2021-05-28T00:00:00Z,3. Surplus,0.017837273062213523
179,2021-05-29T00:00:00Z,3. Surplus,0.00920879331434634
180,2021-05-30T00:00:00Z,3. Surplus,-0.0070784489743077
181,2021-05-31T00:00:00Z,3. Surplus,-0.01768643247108142
182,2021-06-01T00:00:00Z,3. Surplus,0.0037253525115266946
183,2021-06-02T00:00:00Z,3. Surplus,-0.004273990173926682
184,2021-06-03T00:00:00Z,3. Surplus,-0.007140056381927934
185,2021-06-04T00:00:00Z,3. Surplus,0.008235827742387247
186,2021-06-05T00:00:00Z,3. Surplus,0.004399774361481237
187,2021-06-06T00:00:00Z,3. Surplus,-0.004839928371935124
188,2021-06-07T00:00:00Z,3. Surplus,0.0060639409374376235
189,2021-06-08T00:00:00Z,3. Surplus,0.0038334854033764236
190,2021-06-09T00:00:00Z,3. Surplus,-0.0048262521417963946
191,2021-06-10T00:00:00Z,3. Surplus,0.006951757478207329
192,2021-06-11T00:00:00Z,3. Surplus,0.007855086472534259
193,2021-06-12T00:00:00Z,3. Surplus,-0.0012674506366555
194,2021-06-13T00:00:00Z,3. Surplus,-0.007423103198456835
195,2021-06-14T00:00:00Z,3. Surplus,-0.0036851012995875653
196,2021-06-15T00:00:00Z,3. Surplus,0.00029019659301141823
197,2021-06-16T00:00:00Z,3. Surplus,0.012021465669464017
198,2021-06-17T00:00:00Z,3. Surplus,-0.0011130780517298118
199,2021-06-18T00:00:00Z,3. Surplus,0.010551212536288289
200,2021-06-19T00:00:00Z,3. Surplus,0.003988924030687589
201,2021-06-20T00:00:00Z,3. Surplus,-0.005213504691171758
202,2021-06-21T00:00:00Z,3. Surplus,0.030250095226036066
203,2021-06-22T00:00:00Z,3. Surplus,0.0029027111183772235
204,2021-06-23T00:00:00Z,3. Surplus,-0.0103347382331229
205,2021-06-24T00:00:00Z,3. Surplus,-0.0021487804867757945
206,2021-06-25T00:00:00Z,3. Surplus,0.016311326178275378
207,2021-06-26T00:00:00Z,3. Surplus,0.00230071915954574
208,2021-06-27T00:00:00Z,3. Surplus,-0.01607712351648719
209,2021-06-28T00:00:00Z,3. Surplus,-0.010575738973368628
210,2021-06-29T00:00:00Z,3. Surplus,-0.0071219863026464455
211,2021-06-30T00:00:00Z,3. Surplus,-0.007914006278663305
212,2021-07-01T00:00:00Z,3. Surplus,0.011757416376295295
213,2021-07-02T00:00:00Z,3. Surplus,-0.0023501749370194182
214,2021-07-03T00:00:00Z,3. Surplus,-0.005217963587664111
215,2021-07-04T00:00:00Z,3. Surplus,-0.007894628883596159
216,2021-07-05T00:00:00Z,3. Surplus,0.008102838817074293
217,2021-07-06T00:00:00Z,3. Surplus,-0.007637690957329552
218,2021-07-07T00:00:00Z,3. Surplus,0.00011625310734976008
219,2021-07-08T00:00:00Z,3. Surplus,0.014521641354265718
220,2021-07-09T00:00:00Z,3. Surplus,-0.002595898485514084
221,2021-07-10T00:00:00Z,3. Surplus,0.0030033714867618126
222,2021-07-11T00:00:00Z,3. Surplus,-0.0015482122516208819
223,2021-07-12T00:00:00Z,3. Surplus,0.008736772637605129
224,2021-07-13T00:00:00Z,3. Surplus,0.008869619131361705
225,2021-07-14T00:00:00Z,3. Surplus,-0.005382158598067918
226,2021-07-15T00:00:00Z,3. Surplus,0.008499309952644155
